source_model_tag,model_tag,model_family,hidden_size,num_layers,dropout,learning_rate,epochs,best_epoch,best_valid_accuracy,best_valid_loss,final_valid_accuracy,final_valid_loss,test_accuracy,test_loss,test_correct,test_total,param_count,model_size_kb,inference_ms_per_batch_gpu,elapsed_seconds
overnight-gru-128-2layer-drop0.0-lr0.0005,user-split-gru-128-2layer-drop0.0-lr0.0005,GRU,128,2,0.0,0.0005,40,14,0.6675,1.0430233865976333,0.6675,1.0430233865976333,0.7381546134663342,0.7703177075730893,296,401,152724,599.3798828125,0.2701466665409195,9.183477300000959
overnight-gru-256-3layer-drop0.1-lr0.001,user-split-gru-256-3layer-drop0.1-lr0.001,GRU,256,3,0.1,0.001,40,35,0.9075,0.410889249695465,0.9075,0.410889249695465,0.9052369077306733,0.40565426245406083,363,401,995092,3890.1923828125,0.6483266668510623,15.988675100001274
overnight-gru-384-1layer-drop0.0-lr0.0003,user-split-gru-384-1layer-drop0.0-lr0.0003,GRU,384,1,0.0,0.0003,40,17,0.76,0.8142701596021652,0.76,0.8142701596021652,0.770573566084788,0.6722691024367946,309,401,455828,1783.0673828125,0.31726999998985167,8.504950700000336
overnight-gru-384-2layer-drop0.0-lr0.0005,user-split-gru-384-2layer-drop0.0-lr0.0005,GRU,384,2,0.0,0.0005,40,30,0.855,0.5562278946209699,0.855,0.5562278946209699,0.8728179551122195,0.46338510261546645,350,401,1342868,5248.3798828125,0.6586866666718076,13.956618999996863
overnight-gru-128-3layer-drop0.2-lr0.0003,user-split-gru-128-3layer-drop0.2-lr0.0003,GRU,128,3,0.2,0.0003,40,28,0.7225,1.1082494406215846,0.7225,1.1082494406215846,0.7605985037406484,0.8027377595330711,305,401,251796,986.6923828125,0.388349999896794,9.530081299999438
overnight-gru-256-3layer-drop0.0-lr0.0005,user-split-gru-256-3layer-drop0.0-lr0.0005,GRU,256,3,0.0,0.0005,40,17,0.8975,0.351795684043318,0.8975,0.351795684043318,0.8478802992518704,0.6361926849048929,340,401,995092,3890.1923828125,0.6740299999364652,15.026139699999476
overnight-gru-256-2layer-drop0.35-lr0.001,user-split-gru-256-2layer-drop0.35-lr0.001,GRU,256,2,0.35,0.001,40,10,0.8375,0.5834194004628808,0.8375,0.5834194004628808,0.8478802992518704,0.5641834686819157,340,401,600340,2347.8798828125,0.49385666667755385,11.621793699996488
overnight-gru-128-2layer-drop0.1-lr0.002,user-split-gru-128-2layer-drop0.1-lr0.002,GRU,128,2,0.1,0.002,40,30,0.84,0.5384959343727678,0.84,0.5384959343727678,0.8553615960099751,0.7527118664736536,343,401,152724,599.3798828125,0.3330933335140192,8.401877399999648
overnight-gru-384-2layer-drop0.2-lr0.002,user-split-gru-384-2layer-drop0.2-lr0.002,GRU,384,2,0.2,0.002,40,9,0.9075,0.289560381018091,0.9075,0.289560381018091,0.9301745635910225,0.1854419032775999,373,401,1342868,5248.3798828125,0.6483366666846754,14.457452700000431
overnight-gru-384-3layer-drop0.35-lr0.002,user-split-gru-384-3layer-drop0.35-lr0.002,GRU,384,3,0.35,0.002,40,10,0.895,0.3471858080779202,0.895,0.3471858080779202,0.9152119700748129,0.3697081176271462,367,401,2229908,8713.6923828125,0.9489000001243161,19.61356810000143
overnight-gru-384-3layer-drop0.35-lr0.001,user-split-gru-384-3layer-drop0.35-lr0.001,GRU,384,3,0.35,0.001,40,16,0.9075,0.34881209983024747,0.9075,0.34881209983024747,0.8877805486284289,0.4116656117308467,356,401,2229908,8713.6923828125,0.9650199999062654,19.589182699994126
overnight-gru-384-3layer-drop0.0-lr0.002,user-split-gru-384-3layer-drop0.0-lr0.002,GRU,384,3,0.0,0.002,40,35,0.8975,0.3932397001993377,0.8975,0.3932397001993377,0.9077306733167082,0.31127844732823756,364,401,2229908,8713.6923828125,0.96151333321662,18.99268480000319
overnight-gru-384-2layer-drop0.35-lr0.0005,user-split-gru-384-2layer-drop0.35-lr0.0005,GRU,384,2,0.35,0.0005,40,24,0.835,0.5421325839776546,0.835,0.5421325839776546,0.8778054862842892,0.44049848826077215,352,401,1342868,5248.3798828125,0.6670866666051248,14.427174999997078
overnight-lstm-384-1layer-drop0.0-lr0.001,user-split-lstm-384-1layer-drop0.0-lr0.001,LSTM,384,1,0.0,0.001,40,21,0.795,0.6816715957224369,0.795,0.6816715957224369,0.800498753117207,0.782695796944554,321,401,605204,2366.5673828125,0.4050966667515846,9.3055172999957
overnight-gru-128-2layer-drop0.1-lr0.0003,user-split-gru-128-2layer-drop0.1-lr0.0003,GRU,128,2,0.1,0.0003,40,21,0.6975,0.903022192120552,0.6975,0.903022192120552,0.7007481296758105,0.9034165545294707,281,401,152724,599.3798828125,0.3404800001590047,8.36973769999895
overnight-gru-64-3layer-drop0.0-lr0.002,user-split-gru-64-3layer-drop0.0-lr0.002,GRU,64,3,0.0,0.002,40,21,0.8225,0.9269764427095651,0.8225,0.9269764427095651,0.7780548628428927,0.9767983941514593,312,401,64468,254.8798828125,0.28383333337842487,10.140433100001246
overnight-gru-128-3layer-drop0.0-lr0.0003,user-split-gru-128-3layer-drop0.0-lr0.0003,GRU,128,3,0.0,0.0003,40,26,0.7225,1.2837466995045543,0.7225,1.2837466995045543,0.8154613466334164,0.712618325100724,327,401,251796,986.6923828125,0.44238666669116355,9.715996099999757
overnight-gru-256-1layer-drop0.0-lr0.002,user-split-gru-256-1layer-drop0.0-lr0.002,GRU,256,1,0.0,0.002,40,25,0.85,0.7330447268672288,0.85,0.7330447268672288,0.8453865336658354,0.8759971428616089,339,401,205588,805.5673828125,0.31469333334825933,8.220479499999783
overnight-gru-128-3layer-drop0.1-lr0.001,user-split-gru-128-3layer-drop0.1-lr0.001,GRU,128,3,0.1,0.001,40,14,0.8375,0.625086548551917,0.8375,0.625086548551917,0.7531172069825436,0.8217241775959805,302,401,251796,986.6923828125,0.4005299999941295,9.693849499999487
overnight-gru-256-2layer-drop0.1-lr0.002,user-split-gru-256-2layer-drop0.1-lr0.002,GRU,256,2,0.1,0.002,40,21,0.935,0.23307220071437768,0.935,0.23307220071437768,0.9276807980049875,0.2085543043233287,372,401,600340,2347.8798828125,0.5219000001185728,12.60683770000469
overnight-conv1d-64-3layer-drop0.35-lr0.0005,user-split-conv1d-64-3layer-drop0.35-lr0.0005,Conv1D,64,3,0.35,0.0005,35,33,0.8725,0.41320493251085283,0.8725,0.41320493251085283,0.8877805486284289,0.34787453974868887,356,401,27028,115.392578125,0.4709199999827737,8.482538600001135
overnight-gru-256-3layer-drop0.0-lr0.001,user-split-gru-256-3layer-drop0.0-lr0.001,GRU,256,3,0.0,0.001,40,13,0.88,0.4039527739631012,0.88,0.4039527739631012,0.8902743142144638,0.4051023946698764,357,401,995092,3890.1923828125,0.7798833333557317,15.924249700001383
overnight-gru-256-3layer-drop0.0-lr0.002,user-split-gru-256-3layer-drop0.0-lr0.002,GRU,256,3,0.0,0.002,40,14,0.8675,0.5015908782836049,0.8675,0.5015908782836049,0.9177057356608479,0.26389322615695415,368,401,995092,3890.1923828125,0.6427166665768406,15.234394999999495
overnight-gru-64-3layer-drop0.1-lr0.002,user-split-gru-64-3layer-drop0.1-lr0.002,GRU,64,3,0.1,0.002,40,27,0.83,0.7831476442329586,0.83,0.7831476442329586,0.8453865336658354,0.5862854180156144,339,401,64468,254.8798828125,0.2433466666843742,9.529944100002467
overnight-gru-128-3layer-drop0.35-lr0.001,user-split-gru-128-3layer-drop0.35-lr0.001,GRU,128,3,0.35,0.001,40,19,0.815,0.6920398172363639,0.815,0.6920398172363639,0.8379052369077307,0.6760542435836316,336,401,251796,986.6923828125,0.38118333322927356,9.74174949999724
overnight-gru-64-2layer-drop0.1-lr0.001,user-split-gru-64-2layer-drop0.1-lr0.001,GRU,64,2,0.1,0.001,40,38,0.6775,1.363654539808631,0.6775,1.363654539808631,0.7980049875311721,0.7004206817494961,320,401,39508,157.0673828125,0.2261200000551374,8.37552929999947
overnight-gru-128-2layer-drop0.1-lr0.001,user-split-gru-128-2layer-drop0.1-lr0.001,GRU,128,2,0.1,0.001,40,16,0.8,0.5597007948160172,0.8,0.5597007948160172,0.8354114713216958,0.4495534081560121,335,401,152724,599.3798828125,0.3443200000522969,8.664071100000001
overnight-gru-64-3layer-drop0.35-lr0.001,user-split-gru-64-3layer-drop0.35-lr0.001,GRU,64,3,0.35,0.001,40,31,0.805,1.0441093127429486,0.805,1.0441093127429486,0.8029925187032418,0.8604195939186505,322,401,64468,254.8798828125,0.2351933333557099,10.175362199996016
overnight-gru-128-3layer-drop0.1-lr0.002,user-split-gru-128-3layer-drop0.1-lr0.002,GRU,128,3,0.1,0.002,40,33,0.8625,0.5566884147236124,0.8625,0.5566884147236124,0.9077306733167082,0.5183363548222176,364,401,251796,986.6923828125,0.38580333324110444,9.66259159999754
overnight-gru-128-3layer-drop0.35-lr0.0003,user-split-gru-128-3layer-drop0.35-lr0.0003,GRU,128,3,0.35,0.0003,40,25,0.7325,1.1090612239949404,0.7325,1.1090612239949404,0.773067331670823,0.8005694840614338,310,401,251796,986.6923828125,0.3823399999722218,9.661138600000413
overnight-gru-256-2layer-drop0.35-lr0.0003,user-split-gru-256-2layer-drop0.35-lr0.0003,GRU,256,2,0.35,0.0003,40,21,0.7875,0.7758313468843698,0.7875,0.7758313468843698,0.7930174563591023,0.6572184710208318,318,401,600340,2347.8798828125,0.5098533333997086,11.753821099999186
overnight-gru-384-3layer-drop0.35-lr0.0005,user-split-gru-384-3layer-drop0.35-lr0.0005,GRU,384,3,0.35,0.0005,40,16,0.8075,0.7513525532698259,0.8075,0.7513525532698259,0.8354114713216958,0.7016037854173237,335,401,2229908,8713.6923828125,0.9603633334336337,19.589035100005276
overnight-gru-384-3layer-drop0.0-lr0.0005,user-split-gru-384-3layer-drop0.0-lr0.0005,GRU,384,3,0.0,0.0005,40,21,0.84,0.7145390708232299,0.84,0.7145390708232299,0.8778054862842892,0.61399020629928,352,401,2229908,8713.6923828125,0.9409699998892999,18.973358900002495
overnight-gru-384-3layer-drop0.0-lr0.001,user-split-gru-384-3layer-drop0.0-lr0.001,GRU,384,3,0.0,0.001,40,21,0.8925,0.4785764963529073,0.8925,0.4785764963529073,0.9476309226932669,0.20285694418182396,380,401,2229908,8713.6923828125,0.948199999887341,19.067715099998168
overnight-gru-128-3layer-drop0.0-lr0.0005,user-split-gru-128-3layer-drop0.0-lr0.0005,GRU,128,3,0.0,0.0005,40,26,0.7525,0.9784696087799967,0.7525,0.9784696087799967,0.8354114713216958,0.7486917208555036,335,401,251796,986.6923828125,0.41949666653332923,9.303852600001846
overnight-gru-128-3layer-drop0.0-lr0.002,user-split-gru-128-3layer-drop0.0-lr0.002,GRU,128,3,0.0,0.002,40,14,0.84,0.5938970454409719,0.84,0.5938970454409719,0.8403990024937655,0.6148914158938829,337,401,251796,986.6923828125,0.4274933332150492,9.566005299995595
overnight-gru-128-1layer-drop0.0-lr0.001,user-split-gru-128-1layer-drop0.0-lr0.001,GRU,128,1,0.0,0.001,40,35,0.775,0.876331957243383,0.775,0.876331957243383,0.8478802992518704,0.48504978035602186,340,401,53652,212.0048828125,0.21702666684480693,7.640778900000441
overnight-gru-128-3layer-drop0.1-lr0.0003,user-split-gru-128-3layer-drop0.1-lr0.0003,GRU,128,3,0.1,0.0003,40,27,0.755,0.9134688140265643,0.755,0.9134688140265643,0.8229426433915212,0.7217358894776228,330,401,251796,986.6923828125,0.3917400000015429,9.702300100005232
overnight-conv1d-64-2layer-drop0.0-lr0.001,user-split-conv1d-64-2layer-drop0.0-lr0.001,Conv1D,64,2,0.0,0.001,35,25,0.8625,0.49014499425888064,0.8625,0.49014499425888064,0.8603491271820449,0.43116564450418565,345,401,14548,63.9482421875,0.32976999985597405,6.24833149999904
overnight-gru-384-2layer-drop0.2-lr0.001,user-split-gru-384-2layer-drop0.2-lr0.001,GRU,384,2,0.2,0.001,40,8,0.895,0.28942149129696193,0.895,0.28942149129696193,0.9326683291770573,0.18607625132542743,374,401,1342868,5248.3798828125,0.6477700000687037,14.711113899997144
overnight-gru-384-2layer-drop0.1-lr0.002,user-split-gru-384-2layer-drop0.1-lr0.002,GRU,384,2,0.1,0.002,40,9,0.89,0.2817891399562359,0.89,0.2817891399562359,0.9052369077306733,0.290827240283947,363,401,1342868,5248.3798828125,0.6461233334751645,14.477479100001801
overnight-gru-384-2layer-drop0.1-lr0.0005,user-split-gru-384-2layer-drop0.1-lr0.0005,GRU,384,2,0.1,0.0005,40,19,0.8975,0.4393012099713087,0.8975,0.4393012099713087,0.8753117206982544,0.3436767279804496,351,401,1342868,5248.3798828125,0.655446666739105,14.46106759999384
overnight-gru-384-3layer-drop0.2-lr0.002,user-split-gru-384-3layer-drop0.2-lr0.002,GRU,384,3,0.2,0.002,40,7,0.8975,0.34167068186681715,0.8975,0.34167068186681715,0.9226932668329177,0.29227691039703135,370,401,2229908,8713.6923828125,0.9343266666595204,19.64039010000124
overnight-gru-384-2layer-drop0.2-lr0.0003,user-split-gru-384-2layer-drop0.2-lr0.0003,GRU,384,2,0.2,0.0003,40,28,0.88,0.4228861072659493,0.88,0.4228861072659493,0.9052369077306733,0.32658114345590966,363,401,1342868,5248.3798828125,0.6649233332912747,14.555601899999601
overnight-gru-64-2layer-drop0.35-lr0.002,user-split-gru-64-2layer-drop0.35-lr0.002,GRU,64,2,0.35,0.002,40,23,0.7925,0.6402508045360445,0.7925,0.6402508045360445,0.8952618453865336,0.42214184148501877,359,401,39508,157.0673828125,0.23650999986178553,8.498114900001383
overnight-gru-384-3layer-drop0.2-lr0.0005,user-split-gru-384-3layer-drop0.2-lr0.0005,GRU,384,3,0.2,0.0005,40,13,0.8975,0.32348838907200844,0.8975,0.32348838907200844,0.8778054862842892,0.4578571797086116,352,401,2229908,8713.6923828125,0.9429499999290177,20.327391500002705
overnight-gru-384-3layer-drop0.1-lr0.002,user-split-gru-384-3layer-drop0.1-lr0.002,GRU,384,3,0.1,0.002,40,12,0.885,0.3893363553506788,0.885,0.3893363553506788,0.942643391521197,0.26950332033738233,378,401,2229908,8713.6923828125,0.9528533332437898,20.08716650000133
overnight-gru-64-2layer-drop0.2-lr0.001,user-split-gru-64-2layer-drop0.2-lr0.001,GRU,64,2,0.2,0.001,40,25,0.715,1.0154551893472672,0.715,1.0154551893472672,0.8653366583541147,0.4319137034570784,347,401,39508,157.0673828125,0.22507000006347272,8.473563699997612
overnight-lstm-256-2layer-drop0.35-lr0.001,user-split-lstm-256-2layer-drop0.35-lr0.001,LSTM,256,2,0.35,0.001,40,14,0.81,0.7093199533224106,0.81,0.7093199533224106,0.7755610972568578,0.7536263154480523,311,401,798740,3122.8798828125,0.5510366667294875,12.624516299998504
overnight-gru-384-3layer-drop0.35-lr0.0003,user-split-gru-384-3layer-drop0.35-lr0.0003,GRU,384,3,0.35,0.0003,40,15,0.7975,0.6913099181279541,0.7975,0.6913099181279541,0.8403990024937655,0.6946342151955773,337,401,2229908,8713.6923828125,0.9276899999046387,19.71856509999634
overnight-gru-384-2layer-drop0.0-lr0.0003,user-split-gru-384-2layer-drop0.0-lr0.0003,GRU,384,2,0.0,0.0003,40,39,0.8725,0.40159156021662057,0.8725,0.40159156021662057,0.8753117206982544,0.4092307722107728,351,401,1342868,5248.3798828125,0.6655800001074871,14.103590499995335
overnight-gru-384-3layer-drop0.0-lr0.0003,user-split-gru-384-3layer-drop0.0-lr0.0003,GRU,384,3,0.0,0.0003,40,21,0.795,0.6941171206254512,0.795,0.6941171206254512,0.8453865336658354,0.7387659836588357,339,401,2229908,8713.6923828125,1.0056733333234054,19.1298386999988
overnight-gru-384-3layer-drop0.1-lr0.0003,user-split-gru-384-3layer-drop0.1-lr0.0003,GRU,384,3,0.1,0.0003,40,22,0.795,0.7405627874936909,0.795,0.7405627874936909,0.8753117206982544,0.6779931396468917,351,401,2229908,8713.6923828125,0.9509233333422648,19.710083499994653
overnight-gru-384-3layer-drop0.1-lr0.0005,user-split-gru-384-3layer-drop0.1-lr0.0005,GRU,384,3,0.1,0.0005,40,17,0.825,0.6257343878597021,0.825,0.6257343878597021,0.8379052369077307,0.6990313088507426,336,401,2229908,8713.6923828125,0.9305799998401199,19.670402299998386
overnight-gru-384-2layer-drop0.35-lr0.0003,user-split-gru-384-2layer-drop0.35-lr0.0003,GRU,384,2,0.35,0.0003,40,14,0.815,0.5218542125821114,0.815,0.5218542125821114,0.8428927680798005,0.48898900997014416,338,401,1342868,5248.3798828125,0.6586133332651419,14.503231499998947
overnight-gru-256-3layer-drop0.2-lr0.0005,user-split-gru-256-3layer-drop0.2-lr0.0005,GRU,256,3,0.2,0.0005,40,11,0.7925,0.6666820652782917,0.7925,0.6666820652782917,0.8154613466334164,0.6694203343920577,327,401,995092,3890.1923828125,0.6789033332703791,15.38164549999783
overnight-gru-128-2layer-drop0.1-lr0.0005,user-split-gru-128-2layer-drop0.1-lr0.0005,GRU,128,2,0.1,0.0005,40,14,0.675,0.9921679274737835,0.675,0.9921679274737835,0.7256857855361596,0.7980025513213769,291,401,152724,599.3798828125,0.3471366668236442,8.439716699998826
overnight-gru-64-3layer-drop0.0-lr0.001,user-split-gru-64-3layer-drop0.0-lr0.001,GRU,64,3,0.0,0.001,40,14,0.77,0.9977100419998169,0.77,0.9977100419998169,0.7655860349127181,0.873578518108834,307,401,64468,254.8798828125,0.28050999996291165,10.156588199999533
overnight-lstm-384-3layer-drop0.0-lr0.0005,user-split-lstm-384-3layer-drop0.0-lr0.0005,LSTM,384,3,0.0,0.0005,40,35,0.8475,0.6876276333257556,0.8475,0.6876276333257556,0.8653366583541147,0.796114232790589,347,401,2970644,11607.1923828125,1.3700199999827116,23.5233156999966
overnight-gru-128-2layer-drop0.0-lr0.0003,user-split-gru-128-2layer-drop0.0-lr0.0003,GRU,128,2,0.0,0.0003,40,34,0.6675,1.2026652446389199,0.6675,1.2026652446389199,0.71571072319202,0.8389158076478953,287,401,152724,599.3798828125,0.3560733333870303,8.35294559999602
overnight-gru-64-2layer-drop0.35-lr0.001,user-split-gru-64-2layer-drop0.35-lr0.001,GRU,64,2,0.35,0.001,40,32,0.7325,1.1804373689927161,0.7325,1.1804373689927161,0.8902743142144638,0.34577654216652204,357,401,39508,157.0673828125,0.2576599998671251,8.837358400000085
overnight-lstm-384-3layer-drop0.2-lr0.0005,user-split-lstm-384-3layer-drop0.2-lr0.0005,LSTM,384,3,0.2,0.0005,40,15,0.83,0.5856850837171078,0.83,0.5856850837171078,0.6608478802992519,1.075899836651405,265,401,2970644,11607.1923828125,1.3881366665979535,24.002753900000243
overnight-lstm-256-1layer-drop0.0-lr0.001,user-split-lstm-256-1layer-drop0.0-lr0.001,LSTM,256,1,0.0,0.001,40,13,0.735,0.9319482373818755,0.735,0.9319482373818755,0.7805486284289277,0.9011453999452609,313,401,272404,1066.5673828125,0.3516566665590896,8.54310329999862
overnight-gru-384-1layer-drop0.0-lr0.001,user-split-gru-384-1layer-drop0.0-lr0.001,GRU,384,1,0.0,0.001,40,31,0.8475,0.5820866078138351,0.8475,0.5820866078138351,0.912718204488778,0.2753755440122617,366,401,455828,1783.0673828125,0.3323233332290935,8.555023799999617
overnight-gru-64-3layer-drop0.1-lr0.001,user-split-gru-64-3layer-drop0.1-lr0.001,GRU,64,3,0.1,0.001,40,18,0.81,0.854132141917944,0.81,0.854132141917944,0.7980049875311721,0.7180863690197914,320,401,64468,254.8798828125,0.23609333341786018,9.577035700000124
overnight-gru-64-2layer-drop0.0-lr0.002,user-split-gru-64-2layer-drop0.0-lr0.002,GRU,64,2,0.0,0.002,40,22,0.72,1.1757989588193596,0.72,1.1757989588193596,0.8403990024937655,0.5495264414985875,337,401,39508,157.0673828125,0.26552333341290557,8.833301499995287
overnight-gru-128-2layer-drop0.35-lr0.0003,user-split-gru-128-2layer-drop0.35-lr0.0003,GRU,128,2,0.35,0.0003,40,21,0.74,0.8709625543653965,0.74,0.8709625543653965,0.7182044887780549,0.9082426891808498,288,401,152724,599.3798828125,0.307996666621572,9.174264699999185
overnight-gru-256-3layer-drop0.1-lr0.002,user-split-gru-256-3layer-drop0.1-lr0.002,GRU,256,3,0.1,0.002,40,5,0.8775,0.3918907667696476,0.8775,0.3918907667696476,0.912718204488778,0.284718082395575,366,401,995092,3890.1923828125,0.6662200001301244,16.144879100000253
overnight-gru-256-3layer-drop0.1-lr0.0005,user-split-gru-256-3layer-drop0.1-lr0.0005,GRU,256,3,0.1,0.0005,40,12,0.8575,0.5065262180566787,0.8575,0.5065262180566787,0.8778054862842892,0.4087494198520879,352,401,995092,3890.1923828125,0.6886233333110189,16.089361199999985
overnight-gru-128-3layer-drop0.35-lr0.002,user-split-gru-128-3layer-drop0.35-lr0.002,GRU,128,3,0.35,0.002,40,19,0.825,0.643272276353091,0.825,0.643272276353091,0.8603491271820449,0.44555964688782085,345,401,251796,986.6923828125,0.39022333342776017,10.107059100002516
overnight-conv1d-64-2layer-drop0.0-lr0.0005,user-split-conv1d-64-2layer-drop0.0-lr0.0005,Conv1D,64,2,0.0,0.0005,35,32,0.815,0.6231910765171051,0.815,0.6231910765171051,0.8179551122194514,0.48744814309693335,328,401,14548,63.9482421875,0.32231000004685484,6.2068103000056
overnight-lstm-384-2layer-drop0.35-lr0.0005,user-split-lstm-384-2layer-drop0.35-lr0.0005,LSTM,384,2,0.35,0.0005,40,27,0.8125,1.0341334259882569,0.8125,1.0341334259882569,0.8478802992518704,0.7143700434234077,340,401,1787924,6986.8798828125,0.9267066666022099,16.93844679999893
overnight-conv1d-64-2layer-drop0.1-lr0.001,user-split-conv1d-64-2layer-drop0.1-lr0.001,Conv1D,64,2,0.1,0.001,35,34,0.8275,0.5835050994157791,0.8275,0.5835050994157791,0.8528678304239401,0.4656424969434738,342,401,14548,64.0107421875,0.34212333339382894,6.452923400000145
overnight-conv1d-64-2layer-drop0.2-lr0.001,user-split-conv1d-64-2layer-drop0.2-lr0.001,Conv1D,64,2,0.2,0.001,35,21,0.7675,0.8216316211223602,0.7675,0.8216316211223602,0.8329177057356608,0.4544719524514348,334,401,14548,64.0107421875,0.3403866666000492,6.869982099997287
overnight-gru-384-3layer-drop0.2-lr0.001,user-split-gru-384-3layer-drop0.2-lr0.001,GRU,384,3,0.2,0.001,40,11,0.915,0.269386581312865,0.915,0.269386581312865,0.8827930174563591,0.46659584052656355,354,401,2229908,8713.6923828125,0.9439000001293607,19.944884999997157
overnight-gru-384-2layer-drop0.0-lr0.001,user-split-gru-384-2layer-drop0.0-lr0.001,GRU,384,2,0.0,0.001,40,26,0.89,0.362810342637822,0.89,0.362810342637822,0.970074812967581,0.0942798938760139,389,401,1342868,5248.3798828125,0.6577566666237544,13.956877600001462
overnight-gru-256-3layer-drop0.2-lr0.001,user-split-gru-256-3layer-drop0.2-lr0.001,GRU,256,3,0.2,0.001,40,10,0.8575,0.3850764900445938,0.8575,0.3850764900445938,0.8528678304239401,0.385213175353053,342,401,995092,3890.1923828125,0.6526799998634185,15.351824299999862
overnight-lstm-256-2layer-drop0.0-lr0.001,user-split-lstm-256-2layer-drop0.0-lr0.001,LSTM,256,2,0.0,0.001,40,28,0.8,1.034238129593432,0.8,1.034238129593432,0.8329177057356608,0.8265309804246908,334,401,798740,3122.8798828125,0.5374833335129854,12.238022000005003
overnight-gru-384-2layer-drop0.35-lr0.002,user-split-gru-384-2layer-drop0.35-lr0.002,GRU,384,2,0.35,0.002,40,19,0.9125,0.23806041127769276,0.9125,0.23806041127769276,0.942643391521197,0.21991242939360123,378,401,1342868,5248.3798828125,0.6506333333769969,14.477071699999215
overnight-gru-384-2layer-drop0.0-lr0.002,user-split-gru-384-2layer-drop0.0-lr0.002,GRU,384,2,0.0,0.002,40,36,0.8825,0.34667517881665844,0.8825,0.34667517881665844,0.942643391521197,0.19549954010224774,378,401,1342868,5248.3798828125,0.7618199999948653,13.959234100002504
overnight-gru-64-2layer-drop0.0-lr0.001,user-split-gru-64-2layer-drop0.0-lr0.001,GRU,64,2,0.0,0.001,40,21,0.6775,1.1335986849665642,0.6775,1.1335986849665642,0.7830423940149626,0.7286113885572724,314,401,39508,157.0673828125,0.3385466666562328,8.168667899997672
overnight-gru-64-3layer-drop0.0-lr0.0005,user-split-gru-64-3layer-drop0.0-lr0.0005,GRU,64,3,0.0,0.0005,40,31,0.74,1.2684424155950547,0.74,1.2684424155950547,0.7182044887780549,1.0350555814709748,288,401,64468,254.8798828125,0.28472000000571523,10.370447900000727
overnight-gru-128-1layer-drop0.0-lr0.0005,user-split-gru-128-1layer-drop0.0-lr0.0005,GRU,128,1,0.0,0.0005,40,32,0.71,1.0453749867528677,0.71,1.0453749867528677,0.8154613466334164,0.6442714042199817,327,401,53652,212.0048828125,0.22139666665073796,7.9778810999996495
overnight-gru-64-3layer-drop0.35-lr0.002,user-split-gru-64-3layer-drop0.35-lr0.002,GRU,64,3,0.35,0.002,40,32,0.87,0.5932747572287917,0.87,0.5932747572287917,0.8354114713216958,0.6615716307017572,335,401,64468,254.8798828125,0.24203333329448168,10.267364200000884
overnight-gru-64-3layer-drop0.2-lr0.001,user-split-gru-64-3layer-drop0.2-lr0.001,GRU,64,3,0.2,0.001,40,26,0.7875,1.0485789769887923,0.7875,1.0485789769887923,0.7880299251870324,1.0564832431717108,316,401,64468,254.8798828125,0.23989333349163644,10.345431700006884
overnight-gru-64-2layer-drop0.1-lr0.002,user-split-gru-64-2layer-drop0.1-lr0.002,GRU,64,2,0.1,0.002,40,28,0.72,1.1693176850676537,0.72,1.1693176850676537,0.8204488778054863,0.7382528984412885,329,401,39508,157.0673828125,0.2390699999523349,9.198455800004012
overnight-gru-64-3layer-drop0.2-lr0.002,user-split-gru-64-3layer-drop0.2-lr0.002,GRU,64,3,0.2,0.002,40,10,0.83,0.6862977991998196,0.83,0.6862977991998196,0.7880299251870324,0.9162374436112116,316,401,64468,254.8798828125,0.2321433334145695,10.357918000001519
overnight-gru-64-2layer-drop0.2-lr0.0005,user-split-gru-64-2layer-drop0.2-lr0.0005,GRU,64,2,0.2,0.0005,40,34,0.6975,1.2079585034400224,0.6975,1.2079585034400224,0.7655860349127181,0.740513177286657,307,401,39508,157.0673828125,0.22120333330046074,8.91241479999735
overnight-gru-64-2layer-drop0.2-lr0.002,user-split-gru-64-2layer-drop0.2-lr0.002,GRU,64,2,0.2,0.002,40,14,0.7275,1.0884917836636305,0.7275,1.0884917836636305,0.8528678304239401,0.4611738249102138,342,401,39508,157.0673828125,0.21982999993876243,9.080250500002876
overnight-lstm-384-2layer-drop0.1-lr0.001,user-split-lstm-384-2layer-drop0.1-lr0.001,LSTM,384,2,0.1,0.001,40,31,0.77,1.090322353169322,0.77,1.090322353169322,0.7281795511221946,1.409482705316267,292,401,1787924,6986.8798828125,0.9151433332590386,16.933922399999574
overnight-lstm-384-3layer-drop0.1-lr0.001,user-split-lstm-384-3layer-drop0.1-lr0.001,LSTM,384,3,0.1,0.001,40,36,0.85,0.7077680114307441,0.85,0.7077680114307441,0.8403990024937655,0.7831451027675014,337,401,2970644,11607.1923828125,1.3887299998411133,23.847711700000218
overnight-lstm-256-1layer-drop0.0-lr0.0005,user-split-lstm-256-1layer-drop0.0-lr0.0005,LSTM,256,1,0.0,0.0005,40,23,0.7075,1.065950608253479,0.7075,1.065950608253479,0.7032418952618454,1.1517531726128443,282,401,272404,1066.5673828125,0.3428999999111208,8.554598700000497
overnight-lstm-256-2layer-drop0.1-lr0.0005,user-split-lstm-256-2layer-drop0.1-lr0.0005,LSTM,256,2,0.1,0.0005,40,34,0.8425,0.6951087451726198,0.8425,0.6951087451726198,0.8204488778054863,0.6234901943929178,329,401,798740,3122.8798828125,0.5232499999692664,12.467383299997891
