source_model_tag,model_tag,model_family,hidden_size,num_layers,dropout,learning_rate,epochs,best_epoch,best_valid_accuracy,best_valid_loss,final_valid_accuracy,final_valid_loss,test_accuracy,test_loss,test_correct,test_total,param_count,model_size_kb,inference_ms_per_batch_gpu,elapsed_seconds
overnight-rnn-256-1layer-drop0.0-lr0.001,user-split-rnn-256-1layer-drop0.0-lr0.001,RNN,256,1,0.0,0.001,30,5,0.17,2.330027403831482,0.17,2.330027403831482,0.0399002493765586,2.6583608106484733,16,401,71956,283.5673828125,0.23571666655091877,5.939151500002481
overnight-rnn-128-2layer-drop0.0-lr0.001,user-split-rnn-128-2layer-drop0.0-lr0.001,RNN,128,2,0.0,0.001,30,5,0.19,2.3927913188934324,0.19,2.3927913188934324,0.16458852867830423,2.434445922808754,66,401,52628,208.3173828125,0.2680933333370679,6.602822599998035
overnight-rnn-256-2layer-drop0.1-lr0.003,user-split-rnn-256-2layer-drop0.1-lr0.003,RNN,256,2,0.1,0.003,30,13,0.195,2.6989717578887937,0.195,2.6989717578887937,0.04987531172069826,3.228284603937011,20,401,203540,797.8798828125,0.338716666738037,6.742435499996645
overnight-rnn-128-2layer-drop0.1-lr0.001,user-split-rnn-128-2layer-drop0.1-lr0.001,RNN,128,2,0.1,0.001,30,23,0.2,2.45443190574646,0.2,2.45443190574646,0.12219451371571072,2.5634214247848623,49,401,52628,208.3173828125,0.23444000010689098,6.238405199997942
overnight-rnn-256-2layer-drop0.0-lr0.001,user-split-rnn-256-2layer-drop0.0-lr0.001,RNN,256,2,0.0,0.001,30,2,0.18,2.3191540813446045,0.18,2.3191540813446045,0.1172069825436409,2.341681745581496,47,401,203540,797.8798828125,0.3690733331798886,6.630503799999133
overnight-rnn-64-2layer-drop0.0-lr0.003,user-split-rnn-64-2layer-drop0.0-lr0.003,RNN,64,2,0.0,0.003,30,17,0.22,2.2366630935668947,0.22,2.2366630935668947,0.18703241895261846,2.3174366757756752,75,401,14036,57.5673828125,0.23523000005904277,5.87545990000217
overnight-rnn-128-1layer-drop0.0-lr0.003,user-split-rnn-128-1layer-drop0.0-lr0.003,RNN,128,1,0.0,0.003,30,15,0.155,2.6896183586120603,0.155,2.6896183586120603,0.16957605985037408,2.4231588531313393,68,401,19604,79.0048828125,0.2234800000830243,6.170451300000423
overnight-rnn-128-2layer-drop0.1-lr0.003,user-split-rnn-128-2layer-drop0.1-lr0.003,RNN,128,2,0.1,0.003,30,27,0.1875,2.2627525234222414,0.1875,2.2627525234222414,0.1396508728179551,2.5721245234149355,56,401,52628,208.3173828125,0.23285666684387252,6.335774799998035
overnight-rnn-128-2layer-drop0.0-lr0.003,user-split-rnn-128-2layer-drop0.0-lr0.003,RNN,128,2,0.0,0.003,30,0,0.1125,3.003002758026123,0.1125,3.003002758026123,0.022443890274314215,3.069351978135525,9,401,52628,208.3173828125,0.2767633333860431,6.262534000001324
overnight-rnn-256-1layer-drop0.0-lr0.003,user-split-rnn-256-1layer-drop0.0-lr0.003,RNN,256,1,0.0,0.003,30,25,0.16,2.6132912158966066,0.16,2.6132912158966066,0.20448877805486285,2.2495297707821664,82,401,71956,283.5673828125,0.22691000000728914,5.4914692000020295
overnight-rnn-256-2layer-drop0.0-lr0.003,user-split-rnn-256-2layer-drop0.0-lr0.003,RNN,256,2,0.0,0.003,30,8,0.1,3.0283186721801756,0.1,3.0283186721801756,0.09975062344139651,2.9612147629706937,40,401,203540,797.8798828125,0.3457166666824681,6.033850600004371
