model_tag,model_family,hidden_size,num_layers,dropout,learning_rate,epochs,best_epoch,best_valid_accuracy,best_valid_loss,final_valid_accuracy,final_valid_loss,param_count,model_size_kb,inference_ms_per_batch
overnight-lstm-128-2layer-drop0.2-lr0.0005,LSTM,128,2,0.2,0.0005,40,38,0.9875,0.061366305034607646,0.96875,0.08369651617249474,202772,796.1298828125,1.2245859997346997
overnight-gru-128-1layer-drop0.0-lr0.002,GRU,128,1,0.0,0.002,40,14,0.9875,0.0551928833825513,0.984375,0.0676598540274426,53652,212.5673828125,2.6004180003656074
overnight-lstm-128-2layer-drop0.0-lr0.0005,LSTM,128,2,0.0,0.0005,40,36,0.9875,0.0556936765788123,0.98125,0.07630445961840451,202772,796.1298828125,1.255347999976948
overnight-gru-64-3layer-drop0.2-lr0.0005,GRU,64,3,0.2,0.0005,40,37,0.9875,0.0576555079314857,0.9875,0.0775996557436883,64468,256.8837890625,5.563433999777772
overnight-gru-64-2layer-drop0.1-lr0.0005,GRU,64,2,0.1,0.0005,40,36,0.9875,0.0681049349717795,0.9828125,0.0854162901639938,39508,158.3173828125,3.714314000098966
overnight-lstm-128-3layer-drop0.35-lr0.0005,LSTM,128,3,0.35,0.0005,40,25,0.9859375,0.07162613831460476,0.9828125,0.0806546424049884,334868,1313.1337890625,1.8202940002083778
overnight-lstm-256-3layer-drop0.1-lr0.0005,LSTM,256,3,0.1,0.0005,40,33,0.9859375,0.05108525254763663,0.9859375,0.05108525254763663,1325076,5181.1962890625,4.500115999835543
overnight-lstm-64-2layer-drop0.1-lr0.001,LSTM,64,2,0.1,0.001,40,39,0.9859375,0.056401103269308805,0.9859375,0.056401103269308805,52244,208.0673828125,0.8229340001707897
overnight-lstm-128-2layer-drop0.0-lr0.001,LSTM,128,2,0.0,0.001,40,26,0.9859375,0.08180579501204192,0.9859375,0.08180579501204192,202772,796.1298828125,1.3031219999538735
overnight-lstm-128-2layer-drop0.1-lr0.001,LSTM,128,2,0.1,0.001,40,24,0.9859375,0.07235322296619415,0.9828125,0.08447335622040555,202772,796.1298828125,1.2053020001621917
overnight-lstm-256-3layer-drop0.0-lr0.001,LSTM,256,3,0.0,0.001,40,21,0.9859375,0.051249644439667466,0.9828125,0.0742272316769231,1325076,5181.1962890625,4.41904200008139
