model_tag,model_family,hidden_size,num_layers,dropout,learning_rate,epochs,best_epoch,best_valid_accuracy,best_valid_loss,final_valid_accuracy,final_valid_loss,param_count,model_size_kb,inference_ms_per_batch
overnight-conv1d-64-3layer-drop0.0-lr0.001,Conv1D,64,3,0.0,0.001,35,12,1.0,0.09088618829846382,0.996875,0.017774877219926564,27028,115.080078125,0.732527999789454
overnight-conv1d-64-4layer-drop0.0-lr0.0005,Conv1D,64,4,0.0,0.0005,35,28,1.0,0.021986957034096123,1.0,0.02666438859887421,39508,166.3994140625,0.9368540003197268
overnight-conv1d-64-4layer-drop0.2-lr0.001,Conv1D,64,4,0.2,0.001,35,17,1.0,0.038526772521436214,0.9984375,0.01636137062450871,39508,166.5244140625,0.9784160001436248
overnight-conv1d-64-4layer-drop0.1-lr0.0005,Conv1D,64,4,0.1,0.0005,35,26,1.0,0.027432849234901368,0.996875,0.02186675644479692,39508,166.5244140625,0.9791799995582551
overnight-conv1d-64-4layer-drop0.1-lr0.001,Conv1D,64,4,0.1,0.001,35,26,1.0,0.010338829949614593,0.9984375,0.013231665070634335,39508,166.5244140625,0.9695999999530613
overnight-conv1d-64-4layer-drop0.2-lr0.0005,Conv1D,64,4,0.2,0.0005,35,26,1.0,0.036780602973885836,0.996875,0.028765964298509063,39508,166.5244140625,0.9705300000496209
overnight-conv1d-64-4layer-drop0.0-lr0.001,Conv1D,64,4,0.0,0.001,35,30,1.0,0.009535649308236315,0.9984375,0.010257329311571084,39508,166.3994140625,0.9497959999134764
overnight-conv1d-64-3layer-drop0.1-lr0.0005,Conv1D,64,3,0.1,0.0005,35,26,1.0,0.05956714586354792,0.9984375,0.03827283140271902,27028,115.142578125,0.7485160004580393
overnight-gru-384-2layer-drop0.1-lr0.001,GRU,384,2,0.1,0.001,40,27,1.0,0.004154118438600562,0.9984375,0.0061292976890399585,1342868,5249.6298828125,19.934487999998964
overnight-conv1d-64-3layer-drop0.0-lr0.0005,Conv1D,64,3,0.0,0.0005,35,26,1.0,0.05451989760622382,0.9984375,0.03703778609633446,27028,115.080078125,0.7386439997935668
overnight-gru-256-2layer-drop0.0-lr0.0005,GRU,256,2,0.0,0.0005,40,20,0.9984375,0.0196698726504109,0.99375,0.0217944525880739,600340,2349.1298828125,7.608389999950305
overnight-gru-256-2layer-drop0.2-lr0.0005,GRU,256,2,0.2,0.0005,40,25,0.9984375,0.0143239655997604,0.99375,0.0223483652225695,600340,2349.1298828125,7.614376000128686
overnight-gru-128-2layer-drop0.2-lr0.001,GRU,128,2,0.2,0.001,40,14,0.9984375,0.0246282940264791,0.9890625,0.0289842191850766,152724,600.5673828125,4.795125999953598
overnight-gru-256-2layer-drop0.1-lr0.0003,GRU,256,2,0.1,0.0003,40,25,0.9984375,0.0176433263113722,0.996875,0.0215882455115206,600340,2349.1298828125,8.847193999681622
overnight-gru-256-2layer-drop0.35-lr0.002,GRU,256,2,0.35,0.002,40,10,0.9984375,0.0127987131942063,0.9953125,0.0260800646414281,600340,2349.1298828125,7.789092000457458
overnight-gru-256-3layer-drop0.0-lr0.0003,GRU,256,3,0.0,0.0003,40,32,0.9984375,0.0169257400208152,0.996875,0.0179442474909592,995092,3892.1962890625,13.753205999964848
overnight-gru-256-2layer-drop0.35-lr0.0005,GRU,256,2,0.35,0.0005,40,19,0.9984375,0.014471158280503,0.846875,0.5768388757482171,600340,2349.1298828125,7.60465600003954
overnight-gru-128-2layer-drop0.35-lr0.0005,GRU,128,2,0.35,0.0005,40,31,0.9984375,0.0177578069968149,0.996875,0.0163559441571123,152724,600.5673828125,5.024956000270322
overnight-gru-256-2layer-drop0.2-lr0.001,GRU,256,2,0.2,0.001,40,20,0.9984375,0.0136224396817851,0.996875,0.0146250426681945,600340,2349.1298828125,7.644734000205062
overnight-gru-256-2layer-drop0.1-lr0.0005,GRU,256,2,0.1,0.0005,40,25,0.9984375,0.0152286869648378,0.996875,0.0195802607166115,600340,2349.1298828125,7.643475999939255
overnight-gru-128-3layer-drop0.2-lr0.001,GRU,128,3,0.2,0.001,40,20,0.9984375,0.0180264571914449,0.99375,0.0277041265973821,251796,988.6337890625,7.247257999842986
overnight-gru-128-3layer-drop0.2-lr0.0005,GRU,128,3,0.2,0.0005,40,29,0.9984375,0.022961838345509,0.990625,0.0338581946096383,251796,988.6337890625,7.169692000024952
overnight-lstm-384-1layer-drop0.0-lr0.0005,LSTM,384,1,0.0,0.0005,40,33,0.9984375,0.02022837083786726,0.996875,0.032333705446217206,605204,2367.0673828125,2.011938000214286
overnight-conv1d-64-4layer-drop0.35-lr0.0005,Conv1D,64,4,0.35,0.0005,35,33,0.9984375,0.054585928842425344,0.99375,0.05640305383130908,39508,166.5244140625,0.9927060001064091
overnight-gru-128-3layer-drop0.35-lr0.0005,GRU,128,3,0.35,0.0005,40,28,0.9984375,0.0160352727747522,0.9953125,0.0219588590902276,251796,988.6337890625,8.037993999896571
overnight-conv1d-64-4layer-drop0.35-lr0.001,Conv1D,64,4,0.35,0.001,35,33,0.9984375,0.022400521708186717,0.99375,0.03063030189368874,39508,166.5244140625,1.1084959999425337
overnight-gru-256-1layer-drop0.0-lr0.001,GRU,256,1,0.0,0.001,40,26,0.9984375,0.0240046199905918,0.975,0.0985124128870666,205588,806.0673828125,3.8453479995951056
overnight-gru-256-2layer-drop0.0-lr0.0003,GRU,256,2,0.0,0.0003,40,31,0.9984375,0.0184155293158255,0.9953125,0.021276303770719,600340,2349.1298828125,7.572527999873273
overnight-conv1d-64-3layer-drop0.2-lr0.0005,Conv1D,64,3,0.2,0.0005,35,27,0.9984375,0.07631464675068855,0.996875,0.05286164167337119,27028,115.142578125,0.7483739999588579
overnight-conv1d-64-3layer-drop0.1-lr0.001,Conv1D,64,3,0.1,0.001,35,33,0.9984375,0.020658263633958996,0.9984375,0.018570766621269285,27028,115.142578125,0.7479300000704825
overnight-conv1d-64-3layer-drop0.2-lr0.001,Conv1D,64,3,0.2,0.001,35,22,0.9984375,0.0410096971783787,0.9984375,0.02538986346917227,27028,115.142578125,0.7983659999445081
overnight-gru-256-1layer-drop0.0-lr0.0005,GRU,256,1,0.0,0.0005,40,36,0.9984375,0.0224106677458621,0.99375,0.0256901154643856,205588,806.0673828125,3.533805999904871
overnight-gru-128-2layer-drop0.0-lr0.001,GRU,128,2,0.0,0.001,40,20,0.9984375,0.0184316976228728,0.990625,0.0373417002265341,152724,600.5673828125,5.089936000294983
overnight-gru-128-2layer-drop0.35-lr0.001,GRU,128,2,0.35,0.001,40,23,0.9984375,0.0148898403858765,0.9953125,0.0244839113554917,152724,600.5673828125,5.060887999716215
overnight-conv1d-128-2layer-drop0.0-lr0.0005,Conv1D,128,2,0.0,0.0005,35,28,0.996875,0.07986058872193098,0.9859375,0.07572194915264845,53652,217.5732421875,0.6644380005309358
overnight-gru-384-2layer-drop0.2-lr0.0005,GRU,384,2,0.2,0.0005,40,20,0.996875,0.01426885049440898,0.990625,0.042929169605486095,1342868,5249.6298828125,11.846863999962807
overnight-gru-384-2layer-drop0.1-lr0.0003,GRU,384,2,0.1,0.0003,40,21,0.996875,0.01761547352652997,0.99375,0.022151957306778058,1342868,5249.6298828125,21.96408000017982
overnight-gru-256-3layer-drop0.35-lr0.001,GRU,256,3,0.35,0.001,40,25,0.996875,0.017045259947190063,0.9609375,0.11881006974726915,995092,3892.1962890625,20.637817999813706
overnight-gru-128-3layer-drop0.0-lr0.001,GRU,128,3,0.0,0.001,40,20,0.996875,0.0186115682241506,0.9953125,0.0249196848715655,251796,988.6337890625,7.398338000057265
overnight-gru-256-2layer-drop0.0-lr0.002,GRU,256,2,0.0,0.002,40,10,0.996875,0.0297775676008313,0.9921875,0.032552125636721,600340,2349.1298828125,7.593708000495098
overnight-gru-128-3layer-drop0.1-lr0.0005,GRU,128,3,0.1,0.0005,40,23,0.996875,0.0209585600532591,0.996875,0.0195550069387536,251796,988.6337890625,7.474677999853156
overnight-gru-128-2layer-drop0.35-lr0.002,GRU,128,2,0.35,0.002,40,20,0.996875,0.0203603716014185,0.98125,0.075358042656444,152724,600.5673828125,4.839492000173777
overnight-gru-128-2layer-drop0.2-lr0.0003,GRU,128,2,0.2,0.0003,40,38,0.996875,0.0283743368694558,0.99375,0.0330128452274948,152724,600.5673828125,4.823962000082247
overnight-gru-256-1layer-drop0.0-lr0.0003,GRU,256,1,0.0,0.0003,40,35,0.996875,0.027329030202236,0.990625,0.0350302629871293,205588,806.0673828125,3.742081999662332
overnight-gru-128-3layer-drop0.2-lr0.002,GRU,128,3,0.2,0.002,40,10,0.996875,0.0328276009182445,0.9953125,0.0340479826845694,251796,988.6337890625,7.364516000379808
overnight-gru-256-2layer-drop0.0-lr0.001,GRU,256,2,0.0,0.001,40,11,0.996875,0.0140187856741249,0.990625,0.0349055654136464,600340,2349.1298828125,7.610597999882884
overnight-gru-128-2layer-drop0.2-lr0.0005,GRU,128,2,0.2,0.0005,40,33,0.996875,0.020996390923392,0.9890625,0.032713445671834,152724,600.5673828125,4.835719999973662
overnight-conv1d-64-3layer-drop0.35-lr0.001,Conv1D,64,3,0.35,0.001,35,33,0.996875,0.0369045318569988,0.9953125,0.04334423821419477,27028,115.142578125,0.7419820001814514
overnight-gru-256-2layer-drop0.1-lr0.001,GRU,256,2,0.1,0.001,40,23,0.996875,0.0154030107194557,0.996875,0.0146484531054738,600340,2349.1298828125,7.622893999796361
overnight-gru-256-2layer-drop0.2-lr0.0003,GRU,256,2,0.2,0.0003,40,33,0.996875,0.0224034619750455,0.9921875,0.0452049646468367,600340,2349.1298828125,7.493949999916367
overnight-gru-128-2layer-drop0.2-lr0.002,GRU,128,2,0.2,0.002,40,24,0.996875,0.0120014901389367,0.9953125,0.0276044820144306,152724,600.5673828125,4.798855999833904
overnight-gru-256-2layer-drop0.2-lr0.002,GRU,256,2,0.2,0.002,40,9,0.996875,0.0218005498696584,0.959375,0.1599526398349553,600340,2349.1298828125,7.617793999961577
overnight-gru-128-2layer-drop0.0-lr0.002,GRU,128,2,0.0,0.002,40,17,0.996875,0.0132327466097194,0.9734375,0.0922163337934762,152724,600.5673828125,5.304444000357762
overnight-gru-128-2layer-drop0.0-lr0.0005,GRU,128,2,0.0,0.0005,40,39,0.996875,0.0184387141955085,0.996875,0.0184387141955085,152724,600.5673828125,4.816072000539862
overnight-gru-256-3layer-drop0.1-lr0.001,GRU,256,3,0.1,0.001,40,20,0.9953125,0.014168028885615058,0.99375,0.016162702813744545,995092,3892.1962890625,14.075471999822184
overnight-gru-384-1layer-drop0.0-lr0.0003,GRU,384,1,0.0,0.0003,40,33,0.9953125,0.03929646462202072,0.990625,0.039716319867875424,455828,1783.5673828125,6.8403080001007766
overnight-gru-384-2layer-drop0.0-lr0.0005,GRU,384,2,0.0,0.0005,40,18,0.9953125,0.03165868535870686,0.978125,0.09606865169480443,1342868,5249.6298828125,11.173588000237942
overnight-gru-128-3layer-drop0.2-lr0.0003,GRU,128,3,0.2,0.0003,40,35,0.9953125,0.0403912657406181,0.9890625,0.0586973405908793,251796,988.6337890625,7.681426000199281
overnight-gru-256-3layer-drop0.0-lr0.0005,GRU,256,3,0.0,0.0005,40,18,0.9953125,0.0201682425686158,0.9859375,0.0386944016092456,995092,3892.1962890625,11.956578000099398
overnight-gru-256-2layer-drop0.35-lr0.001,GRU,256,2,0.35,0.001,40,6,0.9953125,0.0309465477941557,0.984375,0.0627598700346425,600340,2349.1298828125,7.544937999919057
overnight-gru-128-2layer-drop0.1-lr0.002,GRU,128,2,0.1,0.002,40,10,0.9953125,0.0334988321876153,0.9671875,0.1083821209263987,152724,600.5673828125,4.820265999878757
overnight-gru-384-2layer-drop0.2-lr0.002,GRU,384,2,0.2,0.002,40,16,0.9953125,0.013490178942447528,0.9953125,0.013490178942447528,1342868,5249.6298828125,10.2782760001719
overnight-gru-384-3layer-drop0.35-lr0.002,GRU,384,3,0.35,0.002,40,11,0.9953125,0.023311035243386867,0.9734375,0.07317791187670082,2229908,8715.6962890625,16.323651999700814
overnight-gru-384-3layer-drop0.35-lr0.001,GRU,384,3,0.35,0.001,40,21,0.9953125,0.031069809179462025,0.9875,0.07339182634605095,2229908,8715.6962890625,15.662496000295505
overnight-gru-384-3layer-drop0.0-lr0.002,GRU,384,3,0.0,0.002,40,13,0.9953125,0.026322599992272443,0.9953125,0.026322599992272443,2229908,8715.6962890625,15.613973999861628
overnight-gru-384-2layer-drop0.35-lr0.0005,GRU,384,2,0.35,0.0005,40,20,0.9953125,0.014954820863204077,0.9921875,0.01927493883704301,1342868,5249.6298828125,10.685499999672174
overnight-lstm-384-1layer-drop0.0-lr0.001,LSTM,384,1,0.0,0.001,40,24,0.9953125,0.027688670763745905,0.9875,0.04666186018148437,605204,2367.0673828125,1.9549079996068033
overnight-gru-128-2layer-drop0.1-lr0.0003,GRU,128,2,0.1,0.0003,40,35,0.9953125,0.0363292769528925,0.9796875,0.0798531158361584,152724,600.5673828125,4.8395319998962805
overnight-gru-64-3layer-drop0.0-lr0.002,GRU,64,3,0.0,0.002,40,12,0.9953125,0.0378220774233341,0.9921875,0.0397598061477765,64468,256.8837890625,5.581749999546446
overnight-gru-128-3layer-drop0.0-lr0.0003,GRU,128,3,0.0,0.0003,40,36,0.9953125,0.0295705195516347,0.9921875,0.0327708257827907,251796,988.6337890625,7.212074000271968
overnight-gru-256-1layer-drop0.0-lr0.002,GRU,256,1,0.0,0.002,40,13,0.9953125,0.0263220080232713,0.9828125,0.057494212561869,205588,806.0673828125,3.539091999991797
overnight-gru-128-3layer-drop0.1-lr0.001,GRU,128,3,0.1,0.001,40,10,0.9953125,0.0378250447101891,0.9890625,0.0454681939911097,251796,988.6337890625,7.256626000162214
overnight-gru-256-2layer-drop0.1-lr0.002,GRU,256,2,0.1,0.002,40,6,0.9953125,0.021959501306992,0.9953125,0.0238701908616349,600340,2349.1298828125,7.939434000290931
overnight-conv1d-64-3layer-drop0.35-lr0.0005,Conv1D,64,3,0.35,0.0005,35,33,0.9953125,0.1039685133844614,0.9953125,0.09535498842597008,27028,115.142578125,0.7801539998035878
overnight-gru-256-3layer-drop0.0-lr0.001,GRU,256,3,0.0,0.001,40,24,0.99375,0.020200165364076383,0.9875,0.035444914786785374,995092,3892.1962890625,11.360998000018299
overnight-gru-256-3layer-drop0.0-lr0.002,GRU,256,3,0.0,0.002,40,5,0.99375,0.03361185027752071,0.9890625,0.037709713430376726,995092,3892.1962890625,10.319797999691218
overnight-gru-64-3layer-drop0.1-lr0.002,GRU,64,3,0.1,0.002,40,15,0.99375,0.0385132454335689,0.9921875,0.0376364478142932,64468,256.8837890625,5.557456000242382
overnight-gru-128-3layer-drop0.35-lr0.001,GRU,128,3,0.35,0.001,40,18,0.99375,0.0283820787793956,0.9921875,0.037079973751679,251796,988.6337890625,7.277022000052966
overnight-gru-64-2layer-drop0.1-lr0.001,GRU,64,2,0.1,0.001,40,31,0.99375,0.033026493480429,0.984375,0.0667758428724482,39508,158.3173828125,3.760701999999583
overnight-gru-128-2layer-drop0.1-lr0.001,GRU,128,2,0.1,0.001,40,10,0.99375,0.043062520166859,0.9875,0.0569426385685801,152724,600.5673828125,4.804794000228867
overnight-gru-64-3layer-drop0.35-lr0.001,GRU,64,3,0.35,0.001,40,35,0.99375,0.0464121765806339,0.9921875,0.0558040794567205,64468,256.8837890625,5.7267640001373366
overnight-gru-128-3layer-drop0.1-lr0.002,GRU,128,3,0.1,0.002,40,12,0.99375,0.0397315931972116,0.975,0.0883529435144737,251796,988.6337890625,7.255036000278778
overnight-gru-128-3layer-drop0.35-lr0.0003,GRU,128,3,0.35,0.0003,40,37,0.99375,0.0329346888465806,0.99375,0.0337013764539733,251796,988.6337890625,7.474166000029072
overnight-gru-256-2layer-drop0.35-lr0.0003,GRU,256,2,0.35,0.0003,40,23,0.99375,0.0399097226327285,0.9875,0.0596861359896138,600340,2349.1298828125,7.679810000117868
overnight-gru-384-3layer-drop0.35-lr0.0005,GRU,384,3,0.35,0.0005,40,14,0.99375,0.036833038087934256,0.990625,0.02967329965904355,2229908,8715.6962890625,15.311334000434726
overnight-gru-384-3layer-drop0.0-lr0.0005,GRU,384,3,0.0,0.0005,40,14,0.99375,0.026478678098646923,0.990625,0.03522139985871035,2229908,8715.6962890625,15.324296000180766
overnight-gru-384-3layer-drop0.0-lr0.001,GRU,384,3,0.0,0.001,40,13,0.99375,0.024619764066301286,0.99375,0.022857313576969317,2229908,8715.6962890625,15.345154000096954
overnight-gru-128-3layer-drop0.0-lr0.0005,GRU,128,3,0.0,0.0005,40,22,0.99375,0.0329502961831167,0.9921875,0.0340866550337523,251796,988.6337890625,7.253060000366531
overnight-gru-128-3layer-drop0.0-lr0.002,GRU,128,3,0.0,0.002,40,10,0.99375,0.0303623676300048,0.9921875,0.0402035766048356,251796,988.6337890625,7.511357999756001
overnight-gru-128-1layer-drop0.0-lr0.001,GRU,128,1,0.0,0.001,40,28,0.99375,0.0259609537897631,0.99375,0.0275941404397599,53652,212.5673828125,2.426749999867752
overnight-gru-128-3layer-drop0.1-lr0.0003,GRU,128,3,0.1,0.0003,40,30,0.99375,0.0425654388032853,0.9703125,0.1007431683596223,251796,988.6337890625,7.214718000032008
overnight-conv1d-64-2layer-drop0.0-lr0.001,Conv1D,64,2,0.0,0.001,35,26,0.99375,0.0782565156929195,0.9890625,0.0737379252910614,14548,63.8232421875,0.4941400000825525
overnight-gru-384-2layer-drop0.2-lr0.001,GRU,384,2,0.2,0.001,40,9,0.99375,0.02883171968860552,0.9875,0.045181658631190655,1342868,5249.6298828125,13.601306000491604
overnight-gru-384-2layer-drop0.1-lr0.002,GRU,384,2,0.1,0.002,40,10,0.99375,0.022106225579045714,0.9921875,0.018924180969770533,1342868,5249.6298828125,13.344969999743626
overnight-gru-384-2layer-drop0.1-lr0.0005,GRU,384,2,0.1,0.0005,40,17,0.99375,0.01806090961326845,0.9859375,0.047247105452697724,1342868,5249.6298828125,15.817397999926472
overnight-gru-384-3layer-drop0.2-lr0.002,GRU,384,3,0.2,0.002,40,14,0.99375,0.029040233444538897,0.9921875,0.03212122401964734,2229908,8715.6962890625,15.087061999947764
overnight-gru-384-2layer-drop0.2-lr0.0003,GRU,384,2,0.2,0.0003,40,16,0.99375,0.029786362452432512,0.99375,0.02940771474968642,1342868,5249.6298828125,12.93273399991449
overnight-gru-64-2layer-drop0.35-lr0.002,GRU,64,2,0.35,0.002,40,22,0.9921875,0.032862197572831,0.990625,0.0413666176842525,39508,158.3173828125,3.67398799979128
overnight-gru-384-3layer-drop0.2-lr0.0005,GRU,384,3,0.2,0.0005,40,16,0.9921875,0.04513830279465765,0.9921875,0.04513830279465765,2229908,8715.6962890625,15.41023000027053
overnight-gru-384-3layer-drop0.1-lr0.002,GRU,384,3,0.1,0.002,40,11,0.9921875,0.020888527581701056,0.9890625,0.029405627731466665,2229908,8715.6962890625,15.696942000067791
overnight-gru-64-2layer-drop0.2-lr0.001,GRU,64,2,0.2,0.001,40,24,0.9921875,0.0416986228432506,0.9859375,0.0648111446760594,39508,158.3173828125,3.733231999794953
overnight-lstm-256-2layer-drop0.35-lr0.001,LSTM,256,2,0.35,0.001,40,24,0.9921875,0.03908851281739771,0.940625,0.2331675508990884,798740,3124.1298828125,2.650938000297174
overnight-gru-384-3layer-drop0.35-lr0.0003,GRU,384,3,0.35,0.0003,40,19,0.9921875,0.04496264554327354,0.9890625,0.04570907443412579,2229908,8715.6962890625,16.260509999701753
overnight-gru-384-2layer-drop0.0-lr0.0003,GRU,384,2,0.0,0.0003,40,17,0.9921875,0.03638306420762092,0.9875,0.0385337378247641,1342868,5249.6298828125,12.679900000221096
overnight-gru-384-3layer-drop0.0-lr0.0003,GRU,384,3,0.0,0.0003,40,35,0.9921875,0.0409967367479112,0.9921875,0.031294292959501036,2229908,8715.6962890625,15.963861999916842
overnight-gru-384-3layer-drop0.1-lr0.0003,GRU,384,3,0.1,0.0003,40,17,0.9921875,0.04187313868897036,0.984375,0.05069425881374627,2229908,8715.6962890625,18.357186000212096
overnight-gru-384-3layer-drop0.1-lr0.0005,GRU,384,3,0.1,0.0005,40,11,0.9921875,0.03845647022826597,0.9890625,0.03921839605609421,2229908,8715.6962890625,15.166827999637462
overnight-gru-384-2layer-drop0.35-lr0.0003,GRU,384,2,0.35,0.0003,40,20,0.9921875,0.019445659150369464,0.9921875,0.03713480492588132,1342868,5249.6298828125,9.802897999761626
overnight-gru-256-3layer-drop0.2-lr0.0005,GRU,256,3,0.2,0.0005,40,20,0.9921875,0.041978329932317135,0.9875,0.049056825239676985,995092,3892.1962890625,10.933707999647595
overnight-gru-128-2layer-drop0.1-lr0.0005,GRU,128,2,0.1,0.0005,40,24,0.9921875,0.0391145915491506,0.9890625,0.0436688376590609,152724,600.5673828125,5.132579999626614
overnight-gru-64-3layer-drop0.0-lr0.001,GRU,64,3,0.0,0.001,40,26,0.9921875,0.0446339279878884,0.9875,0.0620047799777239,64468,256.8837890625,5.657238000421785
overnight-lstm-384-3layer-drop0.0-lr0.0005,LSTM,384,3,0.0,0.0005,40,26,0.9921875,0.03757714256644249,0.9796875,0.07968730528955348,2970644,11609.1962890625,8.610706000472419
overnight-gru-128-2layer-drop0.0-lr0.0003,GRU,128,2,0.0,0.0003,40,36,0.9921875,0.048172080842778,0.9859375,0.054585522878915,152724,600.5673828125,4.803224000497721
overnight-gru-64-2layer-drop0.35-lr0.001,GRU,64,2,0.35,0.001,40,21,0.9921875,0.0473778405692428,0.990625,0.0515932015143334,39508,158.3173828125,3.6874260002514343
overnight-lstm-384-3layer-drop0.2-lr0.0005,LSTM,384,3,0.2,0.0005,40,29,0.9921875,0.03672137833782472,0.990625,0.026744161486567462,2970644,11609.1962890625,9.376084000105038
overnight-lstm-256-1layer-drop0.0-lr0.001,LSTM,256,1,0.0,0.001,40,21,0.9921875,0.068254896835424,0.9890625,0.07422495662467554,272404,1067.0673828125,1.1217400000896305
overnight-gru-384-1layer-drop0.0-lr0.001,GRU,384,1,0.0,0.001,40,10,0.990625,0.041957796551287174,0.984375,0.06888318543788045,455828,1783.5673828125,6.34373200009577
overnight-gru-64-3layer-drop0.1-lr0.001,GRU,64,3,0.1,0.001,40,25,0.990625,0.0467415300896391,0.9890625,0.0644557791762054,64468,256.8837890625,5.533198000048287
overnight-gru-64-2layer-drop0.0-lr0.002,GRU,64,2,0.0,0.002,40,20,0.990625,0.0529813931090757,0.9859375,0.0569107126095332,39508,158.3173828125,3.819118000101298
overnight-gru-128-2layer-drop0.35-lr0.0003,GRU,128,2,0.35,0.0003,40,29,0.990625,0.0592711717821657,0.9828125,0.0931926383636891,152724,600.5673828125,4.784539999673143
overnight-gru-256-3layer-drop0.1-lr0.002,GRU,256,3,0.1,0.002,40,9,0.990625,0.037076005997369064,0.9875,0.041797358432086186,995092,3892.1962890625,10.408076000167057
overnight-gru-256-3layer-drop0.1-lr0.0005,GRU,256,3,0.1,0.0005,40,14,0.990625,0.04781778091564774,0.9890625,0.05592946488177404,995092,3892.1962890625,14.742318000062369
overnight-gru-128-3layer-drop0.35-lr0.002,GRU,128,3,0.35,0.002,40,13,0.990625,0.0470042562228627,0.990625,0.0470042562228627,251796,988.6337890625,7.247826000093482
overnight-conv1d-64-2layer-drop0.0-lr0.0005,Conv1D,64,2,0.0,0.0005,35,30,0.990625,0.14236461892724037,0.9859375,0.13526690900325775,14548,63.8232421875,0.7010880002053455
overnight-lstm-384-2layer-drop0.35-lr0.0005,LSTM,384,2,0.35,0.0005,40,34,0.990625,0.04725348933716304,0.975,0.0999798291362822,1787924,6988.1298828125,6.462302000145428
overnight-conv1d-64-2layer-drop0.1-lr0.001,Conv1D,64,2,0.1,0.001,35,30,0.990625,0.08485947204753756,0.984375,0.08813834805041551,14548,63.8857421875,0.5322960001649335
overnight-conv1d-64-2layer-drop0.2-lr0.001,Conv1D,64,2,0.2,0.001,35,33,0.990625,0.09908163025975228,0.98125,0.1065077656880021,14548,63.8857421875,0.5073900002753362
overnight-gru-384-3layer-drop0.2-lr0.001,GRU,384,3,0.2,0.001,40,14,0.990625,0.04032302110863384,0.990625,0.04032302110863384,2229908,8715.6962890625,15.582738000084646
overnight-gru-384-2layer-drop0.0-lr0.001,GRU,384,2,0.0,0.001,40,14,0.990625,0.04006237408029847,0.975,0.07726237853057683,1342868,5249.6298828125,12.724904000060633
overnight-gru-256-3layer-drop0.2-lr0.001,GRU,256,3,0.2,0.001,40,17,0.990625,0.03925222114776261,0.990625,0.040891993943660054,995092,3892.1962890625,15.54171200026758
overnight-lstm-256-2layer-drop0.0-lr0.001,LSTM,256,2,0.0,0.001,40,14,0.990625,0.041625708481296896,0.9828125,0.07652238162700087,798740,3124.1298828125,2.8710339998360723
overnight-gru-384-2layer-drop0.35-lr0.002,GRU,384,2,0.35,0.002,40,15,0.990625,0.029596028005471453,0.9890625,0.03075379969595815,1342868,5249.6298828125,10.17552400007844
overnight-gru-384-2layer-drop0.0-lr0.002,GRU,384,2,0.0,0.002,40,7,0.990625,0.02981206333497539,0.984375,0.03497370794066228,1342868,5249.6298828125,13.408768000081182
