run_type,units1,units2,depth,optimizer,lr,epochs,batchsize,train_steps,valid_steps,capacity_proxy,final_valid_acc,best_valid_acc
overnight_grid,1024,512,3,adamw,0.0001,8,64,140,50,2048,0.835,0.835
overnight_grid,1024,512,2,adamw,0.0015,5,67,140,50,1536,0.8349253731343284,0.8349253731343284
overnight_grid,64,420,2,rmsprop,0.00067,5,96,140,50,484,0.8345833333333333,0.8345833333333333
overnight_grid,32,256,2,adam,0.00067,12,32,140,50,288,0.8325,0.839375
overnight_grid,256,128,2,adam,0.00067,12,42,140,50,384,0.8323809523809523,0.8576190476190476
overnight_grid,256,256,4,rmsprop,0.0001,12,96,140,50,1024,0.8322916666666667,0.8322916666666667
overnight_grid,512,128,2,adamw,0.00067,8,42,140,50,640,0.8319047619047619,0.8347619047619048
overnight_grid,32,512,4,adamw,0.001,5,96,140,50,1568,0.8316666666666667,0.8366666666666667
overnight_grid,64,32,4,adam,0.001,8,67,140,50,160,0.8316417910447761,0.8316417910447761
overnight_grid,256,512,2,adam,0.0015,8,67,140,50,768,0.8307462686567164,0.8525373134328358
overnight_grid,256,64,4,rmsprop,0.001,8,32,140,50,448,0.830625,0.830625
overnight_grid,512,512,4,rmsprop,0.001,5,96,140,50,2048,0.8304166666666667,0.8402083333333333
overnight_grid,256,128,2,rmsprop,0.0015,12,32,140,50,384,0.83,0.869375
overnight_grid,128,64,3,adamw,0.00067,12,42,140,50,256,0.8285714285714286,0.8533333333333334
overnight_grid,420,128,3,adamw,0.001,5,96,140,50,676,0.8279166666666666,0.8352083333333333
overnight_grid,64,32,3,adam,0.001,8,42,140,50,128,0.8276190476190476,0.8276190476190476
overnight_grid,512,128,2,rmsprop,0.00067,5,42,140,50,640,0.8276190476190476,0.8276190476190476
overnight_grid,1024,32,4,rmsprop,0.001,8,42,140,50,1120,0.8266666666666667,0.8352380952380952
overnight_grid,64,256,4,adam,0.0003,12,67,140,50,832,0.8262686567164179,0.84
overnight_grid,64,420,4,adam,0.001,12,32,140,50,1324,0.82625,0.849375
overnight_grid,512,256,3,rmsprop,0.0001,8,64,140,50,1024,0.8259375,0.8259375
overnight_grid,512,32,3,rmsprop,0.001,8,42,140,50,576,0.8257142857142857,0.839047619047619
overnight_grid,256,256,3,rmsprop,0.0003,5,96,140,50,768,0.825625,0.825625
overnight_grid,64,64,3,rmsprop,0.00067,12,42,140,50,192,0.8252380952380952,0.8423809523809523
overnight_grid,420,256,2,adam,0.001,8,42,140,50,676,0.8252380952380952,0.8580952380952381
overnight_grid,420,64,2,adam,0.0003,5,42,140,50,484,0.8247619047619048,0.8247619047619048
overnight_grid,420,128,2,rmsprop,0.0001,8,67,140,50,548,0.8238805970149253,0.8238805970149253
overnight_grid,128,512,2,rmsprop,0.00067,5,42,140,50,640,0.8223809523809524,0.8223809523809524
overnight_grid,1024,64,2,adam,0.00067,12,42,140,50,1088,0.8223809523809524,0.8671428571428571
overnight_grid,768,32,3,adamw,0.0003,5,67,140,50,832,0.82,0.82
overnight_grid,1024,64,4,rmsprop,0.0001,8,128,140,50,1216,0.82,0.82
overnight_grid,256,32,4,adamw,0.00067,8,64,140,50,352,0.8190625,0.8271875
overnight_grid,256,512,2,adamw,0.00067,5,32,140,50,768,0.81875,0.824375
overnight_grid,1024,256,3,rmsprop,0.0001,5,128,140,50,1536,0.8184375,0.82171875
overnight_grid,32,32,4,rmsprop,0.00067,8,96,140,50,128,0.8183333333333334,0.8183333333333334
overnight_grid,1024,32,3,rmsprop,0.001,8,64,140,50,1088,0.8178125,0.8390625
overnight_grid,768,32,3,rmsprop,0.0003,5,128,140,50,832,0.8171875,0.8171875
overnight_grid,420,256,3,adam,0.0001,8,42,140,50,932,0.8171428571428572,0.8242857142857143
overnight_grid,420,420,4,rmsprop,0.0001,8,32,140,50,1680,0.81625,0.81625
overnight_grid,768,32,2,adamw,0.0001,5,96,140,50,800,0.8145833333333333,0.8145833333333333
overnight_grid,256,420,3,adam,0.0001,5,96,140,50,1096,0.8135416666666667,0.8145833333333333
overnight_grid,64,64,4,adamw,0.00067,5,128,140,50,256,0.81296875,0.81296875
overnight_grid,128,512,3,rmsprop,0.0001,5,96,140,50,1152,0.810625,0.8145833333333333
overnight_grid,1024,64,2,rmsprop,0.001,8,32,140,50,1088,0.810625,0.831875
