run_type,model_type,mode,trial_id,val_accuracy,val_loss,epoch,final_val_accuracy,final_val_loss,final_epoch,batch_size,lr,dropout,head_width,head_layers,head_batch_norm,activation,embed_dim,depth,num_heads,patch_size,optimizer,unfreeze_blocks,weight_decay,label_smoothing,image_size,notes,elapsed_seconds,param_count,model_size_kb,inference_ms_per_batch,inference_ms_per_image,best_val_accuracy,best_val_loss,best_epoch,network_name,network_display_name
local,resnet18,overnight,local_resnet18_010,0.9411764705882352,0.2727725244815053,9,0.9281045751633988,0.2732359256619721,20,16,0.0005,0.0,768,2,1,gelu,96,3,4,16,adamw,1,0.0001,0.05,224,Long overnight sweep over transfer learning and compact transformers. Local sequential CUDA-compatible run.,74.6199445000093,12165698,47616.6005859375,224.63071666716127,28.078839583395165,0.9411764705882352,0.2727725244815053,9,resnet18_transfer_head768_layers2_gelu_bn1_unfreeze1,ResNet18 transfer | head=768 | layers=2 | activation=gelu | bn=1 | unfreeze=1
local,resnet18,overnight,local_resnet18_014,0.934640522875817,0.2570993086091833,11,0.915032679738562,0.37275068978079,20,16,0.002,0.0,512,3,1,silu,96,3,4,16,sgd,0,5e-05,0.0,224,Long overnight sweep over transfer learning and compact transformers. Local sequential CUDA-compatible run.,65.04283699998632,11968578,46848.8017578125,194.1699366667308,24.27124208334135,0.934640522875817,0.2570993086091833,11,resnet18_transfer_head512_layers3_silu_bn1_unfreeze0,ResNet18 transfer | head=512 | layers=3 | activation=silu | bn=1 | unfreeze=0
local,resnet18,overnight,local_resnet18_002,0.934640522875817,0.2661291399812386,20,0.934640522875817,0.2661291399812386,20,16,0.001,0.25,768,3,0,relu,96,3,4,16,sgd,2,1e-06,0.05,224,Long overnight sweep over transfer learning and compact transformers. Local sequential CUDA-compatible run.,52.34374090001802,12753218,49897.2724609375,134.23537999915425,16.77942249989428,0.934640522875817,0.2661291399812386,20,resnet18_transfer_head768_layers3_relu_bn0_unfreeze2,ResNet18 transfer | head=768 | layers=3 | activation=relu | bn=0 | unfreeze=2
local,resnet18,overnight,local_resnet18_028,0.934640522875817,0.36115345573113633,11,0.8758169934640523,0.46024683643789854,20,16,0.0001,0.15,512,2,0,gelu,96,3,4,16,adamw,4,1e-05,0.15,224,Long overnight sweep over transfer learning and compact transformers. Local sequential CUDA-compatible run.,46.854135899979156,11702850,45793.5810546875,23.763180000241846,23.763180000241846,0.934640522875817,0.36115345573113633,11,resnet18_transfer_head512_layers2_gelu_bn0_unfreeze4,ResNet18 transfer | head=512 | layers=2 | activation=gelu | bn=0 | unfreeze=4
local,resnet18,overnight,local_resnet18_009,0.9281045751633988,0.4913867688646503,2,0.8888888888888888,0.4501032840971853,20,24,0.0003,0.45,768,3,0,relu,96,3,4,16,adamw,3,0.0005,0.15,224,Long overnight sweep over transfer learning and compact transformers. Local sequential CUDA-compatible run.,50.075579299998935,12753218,49897.2724609375,182.23850999978217,22.77981374997277,0.9281045751633988,0.4913867688646503,2,resnet18_transfer_head768_layers3_relu_bn0_unfreeze3,ResNet18 transfer | head=768 | layers=3 | activation=relu | bn=0 | unfreeze=3
local,resnet18,overnight,local_resnet18_000,0.9281045751633988,0.2531203552228368,18,0.915032679738562,0.3070991448152603,20,8,0.0001,0.0,384,1,0,relu,96,3,4,16,adamw,4,0.0001,0.0,224,Long overnight sweep over transfer learning and compact transformers. Local sequential CUDA-compatible run.,59.61105330000282,11374274,44509.3896484375,171.33073333340388,21.41634166667549,0.9281045751633988,0.2531203552228368,18,resnet18_transfer_head384_layers1_relu_bn0_unfreeze4,ResNet18 transfer | head=384 | layers=1 | activation=relu | bn=0 | unfreeze=4
local,resnet18,overnight,local_resnet18_006,0.9281045751633988,0.6383967995643616,2,0.9019607843137256,0.3666288544929105,20,32,0.002,0.15,256,3,1,silu,96,3,4,16,adamw,1,1e-05,0.0,224,Long overnight sweep over transfer learning and compact transformers. Local sequential CUDA-compatible run.,56.79306560000987,11441474,44783.8017578125,160.62270000014297,20.07783750001787,0.9281045751633988,0.6383967995643616,2,resnet18_transfer_head256_layers3_silu_bn1_unfreeze1,ResNet18 transfer | head=256 | layers=3 | activation=silu | bn=1 | unfreeze=1
local,resnet18,overnight,local_resnet18_020,0.9281045751633987,0.33492104212443036,11,0.9215686274509803,0.3007742283391018,20,16,0.0002,0.0,256,2,1,silu,96,3,4,16,sgd,4,1e-05,0.05,224,Long overnight sweep over transfer learning and compact transformers. Local sequential CUDA-compatible run.,47.359973899961915,11375170,44520.6005859375,15.803920000325888,15.803920000325888,0.9281045751633987,0.33492104212443036,11,resnet18_transfer_head256_layers2_silu_bn1_unfreeze4,ResNet18 transfer | head=256 | layers=2 | activation=silu | bn=1 | unfreeze=4
local,resnet18,overnight,local_resnet18_003,0.9215686274509804,0.2221513095683132,20,0.9215686274509804,0.2221513095683132,20,8,0.0005,0.2,512,2,0,gelu,96,3,4,16,sgd,0,0.0001,0.0,224,Long overnight sweep over transfer learning and compact transformers. Local sequential CUDA-compatible run.,53.67123999999603,11702850,45793.5810546875,175.35501000044556,21.91937625005569,0.9215686274509804,0.2221513095683132,20,resnet18_transfer_head512_layers2_gelu_bn0_unfreeze0,ResNet18 transfer | head=512 | layers=2 | activation=gelu | bn=0 | unfreeze=0
local,resnet18,overnight,local_resnet18_012,0.9215686274509804,0.3990304824573542,19,0.9019607843137256,0.4067383042347977,20,16,0.0002,0.2,768,2,1,gelu,96,3,4,16,sgd,3,5e-05,0.15,224,Long overnight sweep over transfer learning and compact transformers. Local sequential CUDA-compatible run.,70.62242910001078,12165698,47616.6005859375,156.604923333119,19.575615416639877,0.9215686274509804,0.3990304824573542,19,resnet18_transfer_head768_layers2_gelu_bn1_unfreeze3,ResNet18 transfer | head=768 | layers=2 | activation=gelu | bn=1 | unfreeze=3
local,resnet18,overnight,local_resnet18_017,0.9215686274509803,0.4106455447237476,7,0.8823529411764706,0.43779388888209475,20,8,0.0003,0.0,512,1,0,gelu,96,3,4,16,adamw,3,0.0001,0.15,224,Long overnight sweep over transfer learning and compact transformers. Local sequential CUDA-compatible run.,48.4581950000138,11440194,44766.8896484375,23.580819997005165,23.580819997005165,0.9215686274509803,0.4106455447237476,7,resnet18_transfer_head512_layers1_gelu_bn0_unfreeze3,ResNet18 transfer | head=512 | layers=1 | activation=gelu | bn=0 | unfreeze=3
local,resnet18,overnight,local_resnet18_018,0.9150326797385621,0.2345877601430307,13,0.9150326797385621,0.21698149318009421,20,32,0.0005,0.15,768,1,1,relu,96,3,4,16,sgd,2,1e-06,0.0,224,Long overnight sweep over transfer learning and compact transformers. Local sequential CUDA-compatible run.,53.09217729995726,11573570,45295.3994140625,21.0932599962689,21.0932599962689,0.9150326797385621,0.2345877601430307,13,resnet18_transfer_head768_layers1_relu_bn1_unfreeze2,ResNet18 transfer | head=768 | layers=1 | activation=relu | bn=1 | unfreeze=2
local,resnet18,overnight,local_resnet18_016,0.9150326797385621,0.45206092853172153,15,0.9084967320261438,0.41796622439926745,20,24,0.0003,0.1,256,1,0,gelu,96,3,4,16,sgd,2,5e-05,0.15,224,Long overnight sweep over transfer learning and compact transformers. Local sequential CUDA-compatible run.,46.00025290000485,11308354,44251.8896484375,23.716979997698218,23.716979997698218,0.9150326797385621,0.45206092853172153,15,resnet18_transfer_head256_layers1_gelu_bn0_unfreeze2,ResNet18 transfer | head=256 | layers=1 | activation=gelu | bn=0 | unfreeze=2
local,resnet18,overnight,local_resnet18_008,0.9084967320261438,0.3719261499012218,18,0.9084967320261438,0.3610174679288677,20,24,0.0015,0.45,384,2,0,silu,96,3,4,16,sgd,0,0.0005,0.1,224,Long overnight sweep over transfer learning and compact transformers. Local sequential CUDA-compatible run.,63.08173510001507,11522114,45087.5810546875,179.1877633339027,22.39847041673784,0.9084967320261438,0.3719261499012218,18,resnet18_transfer_head384_layers2_silu_bn0_unfreeze0,ResNet18 transfer | head=384 | layers=2 | activation=silu | bn=0 | unfreeze=0
local,resnet18,overnight,local_resnet18_011,0.9084967320261438,0.3622778661889967,13,0.9084967320261438,0.3249442121561836,20,32,0.0003,0.2,768,3,1,silu,96,3,4,16,sgd,0,1e-06,0.05,224,Long overnight sweep over transfer learning and compact transformers. Local sequential CUDA-compatible run.,60.97750950002228,12757826,49937.8017578125,262.35075999963254,32.79384499995407,0.9084967320261438,0.3622778661889967,13,resnet18_transfer_head768_layers3_silu_bn1_unfreeze0,ResNet18 transfer | head=768 | layers=3 | activation=silu | bn=1 | unfreeze=0
local,resnet18,overnight,local_resnet18_024,0.9084967320261438,0.3973511521722756,19,0.8954248366013072,0.41739410337279825,20,8,0.0001,0.15,512,1,1,gelu,96,3,4,16,sgd,3,1e-05,0.15,224,Long overnight sweep over transfer learning and compact transformers. Local sequential CUDA-compatible run.,45.315575600019656,11441218,44776.3994140625,21.01105999900028,21.01105999900028,0.9084967320261438,0.3973511521722756,19,resnet18_transfer_head512_layers1_gelu_bn1_unfreeze3,ResNet18 transfer | head=512 | layers=1 | activation=gelu | bn=1 | unfreeze=3
local,resnet18,overnight,local_resnet18_025,0.8954248366013072,0.41900383140526565,19,0.8954248366013072,0.41587719301772275,20,32,0.0001,0.0,512,2,1,gelu,96,3,4,16,sgd,4,5e-05,0.05,224,Long overnight sweep over transfer learning and compact transformers. Local sequential CUDA-compatible run.,39.52469089999795,11704898,45812.6005859375,24.779419996775687,24.779419996775687,0.8954248366013072,0.41900383140526565,19,resnet18_transfer_head512_layers2_gelu_bn1_unfreeze4,ResNet18 transfer | head=512 | layers=2 | activation=gelu | bn=1 | unfreeze=4
local,resnet18,overnight,local_resnet18_023,0.869281045751634,0.6813264948869843,10,0.8627450980392157,0.6554440945581673,20,32,0.001,0.15,384,3,0,gelu,96,3,4,16,sgd,4,5e-05,0.15,224,Long overnight sweep over transfer learning and compact transformers. Local sequential CUDA-compatible run.,44.89731149998261,11669954,45665.7724609375,24.893659993540496,24.893659993540496,0.869281045751634,0.6813264948869843,10,resnet18_transfer_head384_layers3_gelu_bn0_unfreeze4,ResNet18 transfer | head=384 | layers=3 | activation=gelu | bn=0 | unfreeze=4
local,resnet18,overnight,local_resnet18_027,0.7973856209150327,0.5526843406016531,19,0.7973856209150327,0.5476744584008759,20,32,5e-05,0.0,256,1,1,gelu,96,3,4,16,sgd,3,0.0005,0.15,224,Long overnight sweep over transfer learning and compact transformers. Local sequential CUDA-compatible run.,59.76494979998097,11308866,44257.3994140625,17.431740008760244,17.431740008760244,0.7973856209150327,0.5526843406016531,19,resnet18_transfer_head256_layers1_gelu_bn1_unfreeze3,ResNet18 transfer | head=256 | layers=1 | activation=gelu | bn=1 | unfreeze=3
local,transformer,overnight,local_transformer_024,0.7777777777777778,0.5732025624879824,19,0.7124183006535948,0.6140393268049152,20,16,0.0002,0.25,128,2,1,relu,192,4,4,16,adamw,0,1e-06,0.1,224,Long overnight sweep over transfer learning and compact transformers. Local sequential CUDA-compatible run.,39.771051299991086,1415362,5553.623046875,3.030340000987053,3.030340000987053,0.7777777777777778,0.5732025624879824,19,vision_transformer_patch16_embed192_depth4_heads4_head128_layers2_relu_bn1,Transformer | patch=16 | embed=192 | depth=4 | heads=4 | head=128 | layers=2 | activation=relu | bn=1
local,transformer,overnight,local_transformer_019,0.7647058823529411,0.5373875428648556,18,0.7124183006535948,0.6450709022727668,20,24,0.001,0.2,384,1,0,gelu,96,3,8,8,adamw,0,1e-06,0.1,224,Long overnight sweep over transfer learning and compact transformers. Local sequential CUDA-compatible run.,54.66923239995958,356162,1406.474609375,18.43218000140041,18.43218000140041,0.7647058823529411,0.5373875428648556,18,vision_transformer_patch8_embed96_depth3_heads8_head384_layers1_gelu_bn0,Transformer | patch=8 | embed=96 | depth=3 | heads=8 | head=384 | layers=1 | activation=gelu | bn=0
