epoch,train_loss,train_accuracy,val_loss,val_accuracy,best_val_accuracy,name,kind,hidden_layers,conv_channels,dropout,use_batchnorm,lr,epochs,train_batches,valid_batches
2,0.6613982588052749,0.7875,0.6166968584060669,0.8015625,0.8015625,dense_batchnorm,dense,"256,128",,0.0,True,0.001,2,30,10
2,0.7456660548845927,0.7583333333333333,0.6607406735420227,0.771875,0.771875,dense_both,dense,"256,128",,0.2,True,0.001,2,30,10
2,0.8056662321090698,0.68125,0.770204484462738,0.7140625,0.7140625,dense_baseline,dense,"256,128",,0.0,False,0.001,2,30,10
2,0.9246011336644491,0.6536458333333334,0.8335412800312042,0.684375,0.684375,dense_dropout,dense,"256,128",,0.2,False,0.001,2,30,10
2,2.049370578924815,0.3104166666666667,1.9456367492675781,0.4671875,0.4671875,cnn_small,cnn,"256,128","16,32",0.1,True,0.001,2,30,10
2,1.8058014591534932,0.4192708333333333,1.7415311813354493,0.453125,0.453125,cnn_wider,cnn,"256,128","32,64",0.1,True,0.001,2,30,10
