epoch,train_loss,train_accuracy,val_loss,val_accuracy,best_val_accuracy,name,kind,hidden_layers,conv_channels,dropout,use_batchnorm,lr,epochs,train_batches,valid_batches
12,0.4289250766237577,0.8450520833333334,0.3983281514474324,0.859375,0.8611607142857143,overnight_cnn_32_64_128_drop0.1_bn0_lr0.002,cnn,"256,128","32,64,128",0.1,False,0.002,12,120,35
10,0.40744646042585375,0.8627604166666667,0.4067886803831373,0.859375,0.859375,overnight_dense_256_128_drop0.0_bn1_lr0.0001,dense,"256,128",,0.0,True,0.0001,10,120,35
10,0.4277151939769586,0.8455729166666667,0.40333063687597004,0.859375,0.859375,overnight_dense_256_128_drop0.2_bn0_lr0.001,dense,"256,128",,0.2,False,0.001,10,120,35
10,0.35628345670799416,0.86953125,0.37189483089106423,0.8589285714285714,0.859375,overnight_dense_420_256_drop0.0_bn1_lr0.001,dense,"420,256",,0.0,True,0.001,10,120,35
10,0.37839833994706473,0.8654947916666667,0.3913706715617861,0.8589285714285714,0.8589285714285714,overnight_dense_420_256_drop0.1_bn1_lr0.0001,dense,"420,256",,0.1,True,0.0001,10,120,35
10,0.3759226772934198,0.8596354166666667,0.37937830303396497,0.8589285714285714,0.8625,overnight_dense_420_256_drop0.1_bn1_lr0.002,dense,"420,256",,0.1,True,0.002,10,120,35
10,0.4187507384767135,0.853125,0.39643581424440655,0.8589285714285714,0.8589285714285714,overnight_dense_512_256_drop0.1_bn0_lr0.0003,dense,"512,256",,0.1,False,0.0003,10,120,35
10,0.3621581578006347,0.86875,0.3939522943326405,0.8584821428571429,0.8584821428571429,overnight_dense_512_256_drop0.1_bn1_lr0.001,dense,"512,256",,0.1,True,0.001,10,120,35
10,0.39339185307423274,0.8576822916666667,0.3949758895805904,0.8584821428571429,0.8696428571428572,overnight_dense_512_256_drop0.2_bn1_lr0.001,dense,"512,256",,0.2,True,0.001,10,120,35
10,0.3851091630756855,0.8600260416666666,0.4021018952131271,0.8580357142857142,0.8580357142857142,overnight_dense_420_256_drop0.1_bn0_lr0.002,dense,"420,256",,0.1,False,0.002,10,120,35
10,0.34094727548460163,0.8760416666666667,0.3834706378834588,0.8580357142857142,0.8683035714285714,overnight_dense_256_128_drop0.0_bn1_lr0.001,dense,"256,128",,0.0,True,0.001,10,120,35
12,0.4681233339011669,0.8365885416666666,0.400019804920469,0.8580357142857142,0.8638392857142857,overnight_cnn_32_64_128_drop0.2_bn0_lr0.002,cnn,"256,128","32,64,128",0.2,False,0.002,12,120,35
10,0.3439537307868401,0.8787760416666667,0.4013294028384345,0.8571428571428571,0.8705357142857143,overnight_dense_512_256_drop0.1_bn1_lr0.0003,dense,"512,256",,0.1,True,0.0003,10,120,35
10,0.44175603948533537,0.8442708333333333,0.3901386512177331,0.8571428571428571,0.8584821428571429,overnight_dense_512_256_128_drop0.35_bn0_lr0.001,dense,"512,256,128",,0.35,False,0.001,10,120,35
10,0.4417332333823045,0.8368489583333333,0.404254453097071,0.8571428571428571,0.8571428571428571,overnight_dense_256_128_drop0.35_bn0_lr0.001,dense,"256,128",,0.35,False,0.001,10,120,35
